dataset,bart,gbart,rbart,stan4bart
ngroup_30_groupsize_15_icc_0_g_0.2,-2.2222402939709503e-4,-9.464129890945942e-4,-0.003739386515770605,-4.114611935156706e-4
ngroup_30_groupsize_15_icc_0_g_0.5,-0.0011066430267974155,-0.0027048962898980748,9.143066823746595e-4,0.001956448666204938
ngroup_30_groupsize_15_icc_0_g_0.8,-6.752665615753648e-4,-0.0028931614583510715,-0.0020267547080422446,-2.1236735831623243e-4
ngroup_30_groupsize_35_icc_0_g_0.2,0.00122793238502864,0.001467121774709383,4.385822593768506e-4,7.154638609446689e-5
ngroup_30_groupsize_35_icc_0_g_0.5,0.003327275731521419,0.002710463149086282,-4.959788013234283e-4,3.0749259612227023e-4
ngroup_30_groupsize_35_icc_0_g_0.8,-0.0012021510102673079,-7.469291604435379e-4,8.099827049441097e-4,2.5440855176224594e-4
ngroup_30_groupsize_50_icc_0_g_0.2,3.802569906743009e-4,0.0021498269314226127,-0.0013912388941714126,1.3718943554262133e-4
ngroup_30_groupsize_50_icc_0_g_0.5,8.388434680284452e-4,0.0012308016702078297,0.0010351212721437888,-1.2084838617798276e-6
ngroup_30_groupsize_50_icc_0_g_0.8,-7.717082488117466e-4,6.930399786635564e-4,-3.680105693034998e-5,4.997354460785546e-4
ngroup_30_groupsize_5_icc_0_g_0.2,-8.38507502026541e-4,-0.0029284157252571614,0.0012198768796656838,-0.00102564715058736
ngroup_30_groupsize_5_icc_0_g_0.5,-2.8680456932141584e-4,0.001889079137289253,-0.0016032708032785396,-0.003301938880267665
ngroup_30_groupsize_5_icc_0_g_0.8,-0.004063419844329926,-0.003748503404042762,-0.006652234835749358,-0.004598670473544209
ngroup_50_groupsize_15_icc_0_g_0.2,-0.001607199591120355,5.370095666115304e-4,-0.0015182511177934805,1.172623338947322e-4
ngroup_50_groupsize_15_icc_0_g_0.5,-0.0020246341996769408,0.0011942883975649041,2.6286570950700934e-4,2.4928481606606624e-4
ngroup_50_groupsize_15_icc_0_g_0.8,0.0019530568122852138,-1.2936945023093397e-4,-3.316634320266624e-4,-0.0012548751944955203
ngroup_50_groupsize_35_icc_0_g_0.2,-0.0016952377581231162,2.3088174770764574e-4,5.723473758264695e-4,3.7890729200128366e-4
ngroup_50_groupsize_35_icc_0_g_0.5,-1.4223205680851487e-4,6.776708820100535e-4,-2.784218933754385e-4,-4.7428015762680033e-4
ngroup_50_groupsize_35_icc_0_g_0.8,-1.907041134908471e-4,0.0017441783202243539,0.0025657646084192164,-6.832581211626949e-4
ngroup_50_groupsize_50_icc_0_g_0.2,5.841775226952348e-4,5.127771397469006e-4,-3.1578301720488523e-4,5.52011112354675e-4
ngroup_50_groupsize_50_icc_0_g_0.5,5.949997667414877e-4,-4.616777406810647e-4,-0.0013806994685644691,1.3509324880049765e-5
ngroup_50_groupsize_50_icc_0_g_0.8,-4.453603602122613e-4,0.0018896969880571007,5.090330132016406e-5,2.389987684474518e-4
ngroup_50_groupsize_5_icc_0_g_0.2,0.001585671754850912,0.0016618071176420666,0.0054949394507911534,0.004753288296989771
ngroup_50_groupsize_5_icc_0_g_0.5,-4.286730742102549e-4,0.0035567255027495045,-0.0015076042253148723,1.2275854546567178e-4
ngroup_50_groupsize_5_icc_0_g_0.8,0.00257870023528895,-3.429412023161166e-4,-0.002329638698630958,-0.0033173487743030096
